id,name,privacy,members_approx,members_label,activity,friends_in_group,is_member,member_since,unread_signal,recent_members_signal,relevance_tier,search_query,source_date,account_observed,notes
21,RENTA DE CASAS Y DEPAS EN GUADALAJARA Y ZAPOPAN,Público,7400,7.4 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
22,Casas en renta Guadalajara,Público,5000,5 mil miembros,,3,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
23,"BuscoCuarto.com - Guadalajara, Zapopan",Público,3300,3.3 mil miembros,4 publicaciones al día,1,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
24,Renta Depas y Casas Amueblados SIN AVAL Guadalajara Zapopan y Tlaquepaque,Público,11000,11 mil miembros,20 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
25,venta y renta de casas y departamentos en Guadalajara y alrededores,Público,122000,122 mil miembros,90+ publicaciones al día,14,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
26,Rentas Baratas GDL,Público,17000,17 mil miembros,3 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
27,DERTAMENTOS TIPO LOFT RENTAS GUDALAJARA Y ZAPOPAN,Público,8100,8.1 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
28,Renta de casas Guadalajara (ZMG),Público,9100,9.1 mil miembros,4 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
29,Casas Departamentos Locales en JALISCO | Venta Renta | Guadalajara | Roomie,Privado,9500,9.5 mil miembros,20+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
30,rentas guadalajara sin aval !!!,Privado,37000,37 mil miembros,3 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
31,"Renta y venta de casas, departamentos, Guadalajara y alrededores",Público,48000,48 mil miembros,40+ publicaciones al día,4,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
32,Casas en renta todo Guadalajara,Público,7800,7.8 mil miembros,5 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
33,CASAS DE RENTA GUADALAJARA,Público,7800,7.8 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
34,Rentas y ventas en Zona Metropolitana de Guadalajara,Público,2500,2.5 mil miembros,40+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
35,SOLO RENTA DE CASAS EN GUADALAJARA Y ZAPOPAN,Público,18000,18 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
36,Renta de casas Guadalajara,Público,5400,5.4 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
37,Rentas Baratas Casas Depas y Locales Guadalajara y ZMG,Público,5700,5.7 mil miembros,2 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
38,Departamentos en Venta 📍 Guadalajara,Público,23000,23 mil miembros,90+ publicaciones al día,3,no,,,,C_sales_heavy,roomies gdl,2026-08-01,personal (Facebook search UI),
39,Venta y Renta en Guadalajara,Público,7600,7.6 mil miembros,60+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
40,CASAS DE RENTA EN GUADALAJARA,Público,7000,7 mil miembros,4 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
41,Renta de vivienda / Rooms for rent GUADALAJARA Y ZONA METROPOLITANA,Privado,102000,102 mil miembros,20+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
42,Rentas para estudiantes en Guadalajara y alrededores,Público,2300,2.3 mil miembros,3 publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
43,Housing in Guadalajara,Público,831,831 miembros,,4,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
44,Airbnb Guadalajara Casas Y Deptos,Público,10000,10 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
45,Roomies GDL,Privado,24000,24 mil miembros,,20,yes,julio de 2019,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
46,Rentas economicas Guadalajara,Público,633,633 miembros,,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
47,RENTA Y VENTA DE CASAS DEPARTAMENTOS Y LOCALES EN GUADALAJARA,Público,1500,1.5 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
48,Renta casa o Departamento Guadalajara Zapopan - Invierte Compra y Vende,Público,16000,16 mil miembros,10 publicaciones al día,4,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
49,CASAS Y DEPARTAMENTOS EN VENTA Y RENTA EN GUADALAJARA,Público,18000,18 mil miembros,30 publicaciones al día,3,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
50,venta y renta de casas y departamentos en Guadalajara y alrededores,Público,7700,7.7 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
51,"Renta de Oficinas, casas y departamentos en Guadalajara, Jal NOInmobiliaria",Público,8500,8.5 mil miembros,20+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
52,Casas y Departamentos Guadalajara Zona Metropolitana,Público,274,274 miembros,,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
53,"Busco Roomies, Comparto Depa, Renta de Cuartos Guadalajara, Roomie GDL",Público,212000,212 mil miembros,,46,yes,marzo de 2019,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
54,Roomies Mujeres Gdl,Privado,3700,3.7 mil miembros,,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
55,Roomies Guadalajara / roomie GDL / Habitaciones en renta / Cuartos en renta,Público,136000,136 mil miembros,,11,yes,octubre de 2020,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
56,"Renta Cuarto o Depa, Zona Real, Chapalita, Providencia, GDL, Jalisco Mexico",Privado,42000,42 mil miembros,10+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
57,Busco Cuarto o Roomie - GDL,Público,8200,8.2 mil miembros,,,yes,,2 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
58,roomies gdl-alrededores,Público,1800,1.8 mil miembros,,,yes,,,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
59,Roomies Renta de Cuartos en Guadalajara Con Precio Publico,Público,4800,4.8 mil miembros,,,yes,,3 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
60,ROOMIES VIP GUADALAJARA - Renta cuartos Andares Chapu Providencia Chapalita,Público,8700,8.7 mil miembros,,,yes,,25 publicaciones no leídas,yes,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
61,Renta de cuartos Area Metropolitana de Guadalajara.,Público,17000,17 mil miembros,,2,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
62,Roomies Guadalajara,Público,13000,13 mil miembros,,4,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
63,🏡🏠 Roomies en Guadalajara Jalisco,Público,6500,6.5 mil miembros,,,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
64,Renta de Cuartos en Guadalajara y Zapopan,Público,67000,67 mil miembros,,5,yes,junio de 2026,25 publicaciones no leídas,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),
65,"Rentas venta de casas y depas en Gdl,tlaquepaque,tonala,tlajomulco",Público,258000,258 mil miembros,90+ publicaciones al día,8,no,,,,C_sales_heavy,roomies gdl,2026-08-01,personal (Facebook search UI),
66,Casas y Departamento En Renta y Venta Zapopan y Guadalajara,Público,6300,6.3 mil miembros,40+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
67,Renta de Cuartos.. Providencia Guadalajara.,Público,1400,1.4 mil miembros,5 publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
68,FORANEOS EN GUADALAJARA,Público,34000,34 mil miembros,30+ publicaciones al día,5,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
69,"Renta de Habitaciones TEC, UP, Cuauhtémoc, UVM campus GDL",Público,2900,2.9 mil miembros,20 publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
70,Zona Parque Metropolitano y Galerias.,Público,58000,58 mil miembros,90+ publicaciones al día,23,no,,,,C_other,roomies gdl,2026-08-01,personal (Facebook search UI),
71,Venta y Renta de Inmuebles en Guadalajara,Público,62000,62 mil miembros,90+ publicaciones al día,14,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
72,Venta y Renta de casas Zona Metropolitana de Guadalajara,Público,10000,10 mil miembros,90+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
73,Casas en renta y venta Guadalajara ZMG,Público,7300,7.3 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
74,Renta Departamentos Casas Tec de Monterrey Guadalajara Zapopan Jalisco,Público,3700,3.7 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
75,VENTA Y RENTA DE CASAS EN GUADALAJARA Y ZONA METROPOLITANA,Público,4300,4.3 mil miembros,90+ publicaciones al día,2,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
76,CASAS EN VENTA Y RENTA GUADALAJARA,Público,38000,38 mil miembros,90+ publicaciones al día,5,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
77,renta cuartos tonala guadalajara zap tlaq tlajo el salto,Público,5100,5.1 mil miembros,30+ publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
78,VENTA y RENTA de casas y departamentos en Guadalajara y alrededores,Público,52000,52 mil miembros,90+ publicaciones al día,5,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
79,VENTA Y RENTA DE CASAS EN GUADALAJARA Y ZONA METROPOLITANA,Público,115000,115 mil miembros,90+ publicaciones al día,13,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
80,Guadalajara Expats Apartment Rentals & Sales,Privado,7200,7.2 mil miembros,2 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
81,"Casas en Guadalajara, Zapopan, Tlaquepaque, Tlajomulco y Tonala",Público,44000,44 mil miembros,90+ publicaciones al día,4,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
82,Bodegas en Renta y Venta Guadalajara y Alrededores,Público,8500,8.5 mil miembros,30+ publicaciones al día,6,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
83,Locales comerciales Guadalajara,Público,30000,30 mil miembros,40+ publicaciones al día,4,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
84,Locales en renta en Guadalajara,Público,20000,20 mil miembros,30+ publicaciones al día,2,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
85,RENTA DE CONSULTORIOS EN ZAPOPAN Y GUADALAJARA,Público,4200,4.2 mil miembros,10+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
86,RENTA CUARTOS CASAS OFICINAS LOCALES COMERCIALES EN GUADALAJARA JALISCO,Público,8500,8.5 mil miembros,10+ publicaciones al día,2,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
87,"CASAS Y TERRENOS.- Renta y Venta de casas en Guadalajara, GDL, ZMG SP",Público,133000,133 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
88,"Venta/Renta de casas, departamentos en Guadalajara.",Público,7800,7.8 mil miembros,90+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
89,CASAS DE LUJO VENTA Y RENTA GUADALAJARA,Público,7200,7.2 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
90,Casas en Venta y Renta Guadalajara,Público,65000,65 mil miembros,90+ publicaciones al día,6,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
91,"Compra, Venta, Renta de inmuebles en ZMG",Público,42000,42 mil miembros,90+ publicaciones al día,10,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
92,Rentas Depas TEC - Campus Guadalajara,Público,12000,12 mil miembros,30+ publicaciones al día,2,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
93,Venta y Renta de casas y terrenos Guadalajara y Área Metropolitana,Público,10000,10 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
94,Casas y departamentos en venta en Guadalajara,Público,57000,57 mil miembros,50+ publicaciones al día,7,no,,,,C_sales_heavy,roomies gdl,2026-08-01,personal (Facebook search UI),
95,"CASAS, DEPARTAMENTOS, TERRENOS EN GUADALAJARA, VENTA O RENTA !!",Público,3300,3.3 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
96,RIDES GDL - LEON - GDL,Público,3400,3.4 mil miembros,,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
97,"BUSCO DEPARTAMENTO O CASA EN VENTA (GDL, ZAPOPAN, TLAQUEPAQUE , TLAJOMULCO",Público,3900,3.9 mil miembros,90+ publicaciones al día,,no,,,,C_sales_heavy,roomies gdl,2026-08-01,personal (Facebook search UI),
98,House Exchange Guadalajara Oriente,Público,42000,42 mil miembros,10+ publicaciones al día,21,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
99,"Casas, terrenos y departamentos en Venta y Renta en Guadalajara",Público,16000,16 mil miembros,60+ publicaciones al día,3,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
100,RENTAS BARATAS GUADALAJARA departamentos casas locales roomis airbnb,Público,100,100 miembros,,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
101,"Terraza con alberca en Tonalá, Gdl,Zapopan",Público,1000,1 mil miembros,10+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
102,Departamentos En Venta Y Renta En Guadalajara,Privado,14000,14 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
103,"Renta en Guadalajara - Casas, Locales, Oficinas, Departamentos, etc",Público,15000,15 mil miembros,20+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
104,Foráneos en Guadalajara,Público,3200,3.2 mil miembros,5 publicaciones al día,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
105,se renta cuarto guadalajara,Público,1500,1.5 mil miembros,,,yes,,,,A_roomies_cuartos,roomies gdl,2026-08-01,personal (Facebook search UI),joined_or_requested 2026-08-01 (user confirmed; private may be pending)
106,Oficinas en renta en Guadalajara,Público,1300,1.3 mil miembros,10 publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
107,casas de renta en guadalajara tonala tlaquepaque el salto tlajomulco,Público,75000,75 mil miembros,50+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
108,Casas en Renta en Guadalajara oficial,Público,2500,2.5 mil miembros,2 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
109,casas de renta guadalajara zapopan tonala,Público,38000,38 mil miembros,10+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
110,RENTA Y VENTA GUADALAJARA!,Público,649,649 miembros,10 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
111,BODEGAS VENTA Y RENTA GUADALAJARA ZMG,Privado,6500,6.5 mil miembros,30+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
112,Departamentos en venta Guadalajara y Zapopan Jal,Público,5500,5.5 mil miembros,20 publicaciones al día,2,no,,,,C_sales_heavy,roomies gdl,2026-08-01,personal (Facebook search UI),
113,"Compra, Venta y Renta de CASAS en Guadalajara, jal ヅ",Público,8200,8.2 mil miembros,90+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
114,Casas en Guadalajara y ZMG,Público,5100,5.1 mil miembros,90+ publicaciones al día,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
115,Renta y Venta de Bodegas En Guadalajara,Público,3100,3.1 mil miembros,3 publicaciones al día,3,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
116,Renta y Venta de Casas y Departamentos en Guadalajara Zapopan Tlajomulco,Público,10000,10 mil miembros,,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
117,casas y departamentos en renta y venta Zapopan QUALITY HOME INMOBILIARIA,Privado,65000,65 mil miembros,90+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
118,RESTAURANTES EN GDL Y ZMG☑️,Público,11000,11 mil miembros,20+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
119,Venta y renta casas GDL Zapopan Tonalá Tlaquepaque Tlajomulco y ZMG,Público,948,948 miembros,8 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
120,"Renta, Compra, Venta de Casas y Departamentos en Guadalajara",Público,3800,3.8 mil miembros,3 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
121,"casas en renta, venta en Guadalajara, Zapopan Jalisco",Público,5500,5.5 mil miembros,2 publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
122,CASAS DE RENTA EN GUADALAJARA,Privado,181000,181 mil miembros,80+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
123,Renta de consultorios por hora Guadalajara,Público,5100,5.1 mil miembros,9 publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
124,GDL AMIGOS,Público,66000,66 mil miembros,10+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
125,Casas Renta y Venta Guadalajara y alrededores,Público,44000,44 mil miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
126,VENTA Y RENTA DE CASAS Y DEPARTAMENTOS ZMG,Público,1900,1.9 mil miembros,,1,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
127,"Casas, departamentos e Inmuebles en Venta y Renta en Guadalajara",Público,8500,8.5 mil miembros,10+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
128,"Airbnb y Hoteles en Guadalajara, Zona centro y Zapopan",Público,10000,10 mil miembros,20+ publicaciones al día,2,no,,,,C_short_stay,roomies gdl,2026-08-01,personal (Facebook search UI),
129,"Venta y Renta de Casas, Departamentos, Terrenos y Locales en ZMG",Público,8200,8.2 mil miembros,90+ publicaciones al día,3,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
130,CASAS Y DEPAS EN VENTA Y RENTA EN GUADALAJARA,Público,1400,1.4 mil miembros,30+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
131,"Compra,Venta y Renta de propiedades Guadalajara by YOVA",Público,866,866 miembros,20+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
132,Que Todo GUADALAJARA Se Entere!!!!,Público,197000,197 mil miembros,90+ publicaciones al día,9,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
133,Casas en renta en zapopan jalisco,Público,12000,12 mil miembros,10+ publicaciones al día,,no,,,,B_general_rentals,roomies gdl,2026-08-01,personal (Facebook search UI),
134,MUEBLES GDL. TODO PARA TU HOGAR,Público,26000,26 mil miembros,90+ publicaciones al día,1,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
135,Venta de salas GDL,Público,2300,2.3 mil miembros,6 publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
136,Jardineras HW GDL,Público,1200,1.2 mil miembros,30+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
137,TRABAJO GDL,Público,77000,77 mil miembros,10+ publicaciones al día,,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
138,Empleos Gdl -2021,Público,124000,124 mil miembros,40+ publicaciones al día,6,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
139,ANUNCIOS GRATIS EN GUADALAJARA,Público,9100,9.1 mil miembros,40+ publicaciones al día,2,no,,,,C_other,roomies gdl,2026-08-01,personal (Facebook search UI),
140,Compra-Venta de Inmuebles GDL,Público,8400,8.4 mil miembros,80+ publicaciones al día,2,no,,,,D_off_topic,roomies gdl,2026-08-01,personal (Facebook search UI),
